iter	Passed	Remaining
0	4	199
1	10	241
2	14	220
3	17	204
4	21	191
5	26	195
6	30	186
7	33	178
8	37	172
9	42	171
10	47	168
11	52	164
12	57	163
13	61	158
14	65	153
15	69	147
16	75	146
17	79	141
18	84	137
19	90	135
20	94	130
21	98	125
22	102	120
23	108	117
24	112	112
25	116	107
26	122	104
27	125	98
28	130	94
29	134	89
30	139	85
31	144	81
32	148	76
33	153	72
34	157	67
35	161	62
36	165	58
37	171	54
38	175	49
39	179	44
40	184	40
41	189	36
42	193	31
43	198	27
44	205	22
45	209	18
46	214	13
47	220	9
48	224	4
49	228	0
